用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id,score,segmented
1388037048645908,🐰小微微吖！,2026-03-09,河南,第一部是高尔夫，第二部是A3，第三部是什么车？,1,7598390738111466761,0.8772570574128744,第一部 高尔夫 第二部 A3 第三部 车
2659093446401168,小泽爱吃饺子,2026-01-25,广东,个人感觉还是 F1狂飙飞车好看点[暗中观察],1,7598390738111466761,0.5862388716240113,个人感觉   F1 狂飙 飞车 好看 点 [ 暗中 观察 ]
3395733136610400,56330228052,2026-01-25,重庆,博纳起飞,1,7598390738111466761,0.4737672181921917,博纳 起飞
1714835540677501,@中药材长沙哥,2026-02-05,湖南,博纳影业拉几个涨停板吧[赞][赞][赞],4,7598390738111466761,0.9997396044557343,博纳 影业 拉 几个 涨停板 [ 赞 ] [ 赞 ] [ 赞 ]
3802526735412151,心里.,2026-02-19,贵州,免费完整版！！！,1,7598390738111466761,0.88466144144804,免费 完整版
101009875621,Demonless.Bai,2026-01-23,浙江,没有女主角的电影，真的好看,28,7598390738111466761,0.9775466571138456,没有 女主角 电影 真的 好看
11212515965,Zephyr·Jadey,2026-01-23,河北,一看预算拉满的纪星[图片表情],358,7598390738111466761,0.47677863449550073,一看 预算 拉满 纪星 [ 图片 表情 ]
2664810000418029,𝑪𝒉𝒆𝒇.陆,2026-02-20,江苏,飞驰人生4已经在偷偷上映了,0,7598390738111466761,0.9834545851252118,飞驰 人生 已经 偷偷 上映
1496851451745756,小甜9968,2026-03-09,广西,97秒是个创造奇迹的数字,1,7598390738111466761,0.9862240544816955,97 秒 创造 奇迹 数字
1198935004423975,华星医械六扇门,2026-02-17,江苏,嗯，今天我刚看过的飞驰人生三,0,7598390738111466761,0.8090207725077224,今天 我刚 看过 飞驰 人生 三
1980663917457499,美洋洋,2026-01-25,福建,第一部是高尔夫，第二部是A3，第三部是什么车？[图片表情],1,7598390738111466761,0.9238334470012924,第一部 高尔夫 第二部 A3 第三部 车 [ 图片 表情 ]
100933672164,退役集翔物,2026-01-26,山东,"记星：领导，咱预算多少
领导：上不封顶
张驰：什么叫我会不会开火箭[憨笑]",5,7598390738111466761,0.017042873119200053,"记星 领导 预算 
 领导 封顶 
 张驰 我会 不会 开 火箭 [ 憨笑 ]"
101688218934,About,2026-01-29,湖北,领克z20[钱],1,7598390738111466761,0.257011199551725,领克 z20 [ 钱 ]
105291476626,异,2026-01-23,云南,龙文章都来，[给力]，必看,5,7598390738111466761,0.937460374115762,龙 文章 [ 给力 ] 必看
710743096308848,阿C,2026-01-24,广东,来不及解释了，下面登场的是,1,7598390738111466761,0.21444148410939967,来不及 解释 下面 登场
3809155855945567,木 木.,2026-01-24,青海,沈腾：现发家族大团建啦      白敬亭金晨：我俩退出呗？[图片表情],1,7598390738111466761,0.6386154219278825,沈腾 现发 家族 团建             白敬亭 金晨 我俩 退出 [ 图片 表情 ]
1996318732718255,沉醉不知归路,2026-01-28,湖南,月子1，月子2，月子3[戳手手]憋出来的绝对烂片,1,7598390738111466761,0.016036429810724506,月子 月子 月子 [ 戳 手手 ] 憋 绝对 烂片
2412807534674784,缝系,2026-01-25,河南,"光看预告片给我一种感觉：
张弛—维斯塔潘
宇强—佩雷兹
继星—纽维[杀马特]",0,7598390738111466761,0.9994279601129121,"光看 预告片 一种 感觉 
 张弛 — 维斯塔 潘 
 宇强 — 佩雷兹 
 继星 — 纽维 [ 杀马特 ]"
1371835274639424,巴洛克Goth,2026-01-24,浙江,预算拉满的记星[图片表情],1,7598390738111466761,0.5096310189647347,预算 拉满 记星 [ 图片 表情 ]
96899172601,.7  🍥,2026-02-17,江苏,刚看完， 绝对刺激精彩，值得一看，特别是后半部分。,2,7598390738111466761,0.9616203734728851,刚看 完   绝对 刺激 精彩 值得一看 特别 半 部分
60942203398,猫子,2026-04-25,湖北,这句话真的很触动我,2180,7629631350202957547,0.8972726930068808,这句 话 真的 触动
1547750313828808,抖抖发瑟,2026-04-25,广东,网上什么时候可以看[流泪],2,7629631350202957547,0.7269938548439064,网上 [ 流泪 ]
65497135744,高高·,2026-04-26,安徽,不是的，机会只会出现在其中的一两次,8,7629631350202957547,0.7535983515240365,机会 只会 出现 一两次
522974422641821,大悦,2026-04-25,北京,谁董啊[苦涩][苦涩][苦涩],2,7629631350202957547,0.9950950463794092,董 [ 苦涩 ] [ 苦涩 ] [ 苦涩 ]
68737462448,芋泥·YIBO,2026-04-26,云南,看完3去看了1 2，我才明白为什么张弛如此坚持,4,7629631350202957547,0.7510790850756949,完   明白 张弛 坚持
276718814497495,威豹少年干饭团,2026-04-25,吉林,飞驰4，摩托传奇,2,7629631350202957547,0.9468985297527442,飞驰 摩托 传奇
101429742512,平安树,2026-04-26,山东,三刷的时候，从这句话开始我就哭的停不下来,0,7629631350202957547,0.42040532409982545,三刷 这句 话 哭 停不下来
98749551120,Red,2026-04-25,广东,把连牙蓝上,0,7629631350202957547,0.8498988332548115,连牙 蓝上
